pron,offset
tung1 bo1 zäi2,3999086
däi2 säk6,4004015
go1 se1 wui6,4008213
da2 go1 däk6,4013038
mäk6 säng1,4016609
zo6 däu1,4020807
cing4 säi1 gäm1 säng1,4024900
mäng6 dim2 gai2,4032337
säu1 cäi4,4037893
duk6 zü1,4042091
säng1 lok6,4045975
häng4 zäng1,4049546
säng4 hok6 si6,4053848
teng1 mäng4,4059299
mäng4 ping2,4062661
ci1 tung1,4067068
yäng4 zäi2 säi1 säi1,4071161
däu1 käu1,4079643
cäk2 säp6 yi6 hong4,4083736
mu4 ha1 hæng6,4090964
zök6 löng4,4095371
ce1 täu4 däng1,4098628
säng2 cæk2,4103035
næng4 se2 næng4 li4,4107128
gi1 säu4,4112788
däu1 ping2,4116881
su2 bäk2 zäng6,4121079
mo4 küng4 cæk2 zöng2,4126322
häu2 yung4 yi6,4133550
gwui6 si2 lo1,4138166
bäk2 hong4 yäk2 säng1,4142991
yäng4 di1 häi6,4149487
zi2 ho4 ce1,4154938
dai6 ma1,4159867
yäu1 cäi4,4163542
ding6 gai2 yäk6,4167844
sæng1 da2 gäng1,4172355
bui6 mäk6,4177284
säu1 däu6 yäng4,4181168
zi2 ca1,4185679
ma4 säng1 tai1 long4,4190086
mu4 yi1 wäi4 gäi1,4196687
ga1 zöng2 säng1,4203288
yäk6 ca1,4208948
bäng2 säk2 zäng6 hi1,4212728
säk6 däu1 zäng6,4220165
co1 säk2 löng4 gi1,4225825
cöng4 täi4,4233889
æk2 gäng1,4237878
da2 gai1 bo1,4241762
mäu4 säng1,4246064
ging1 wok6 da2 wok6,4250575
wäng4 wäng4 zung1 säng1,4257071
cöi1 nöi6 ga1 yi1,4264508
mäu1 yäng4 gok2,4271422
si1 da1,4275933
dai6 wæk6 bäk2 gai2,4280235
lü6 pau1,4289030
zu6 læng6 si1,4293541
du1 ca1 m4 do1,4299201
gwäi2 säk6 näi4,4304548
hæk2 zäi2,4309791
säng1 gäi1,4313675
ba1 si2,4317873
hau6 fuk6 kwäng4,4322071
gäu1 häng1 däu1 si2,4327000
zäng1 dük6,4333705
söng6 häp6,4337380
zäng1 näng4 löng6,4341055
yäu4 cöng4,4345462
ga2 hi1 zäng1 zu6,4349869
sim4 si1,4356783
sæng1 næng6,4361712
gau1 m4 gau1,4365178
säng4 ming4,4369689
höng1 zäng1,4373364
gäng1 söng4 säng1,4377457
co1 yi4 mäng4 gam1,4383222
päng4 däi2 hai4,4390032
gong2 gong2 ha1 zäu6 huk2,4395170
ding6 wa2,4401771
yiu4 ha1 yiu4 ha1,4405969
fui1 yäng2,4411316
säk6 ngäi1 säu1,4415409
säk6 zai1,4422010
löng4 säk6 zok2 mäk6,4426103
säng4 ning4,4434062
sing6 cöng4,4437528
bui1 ming6,4441935
häng1 ying4,4445610
wäi4 säu2,4449285
bäk2 gok2,4453796
ha6 zung1 nung4,4457471
häk2 yi1 wäi4 zi1,4461355
wo4 päng4,4467538
yi1 gäng1 gong2,4471318
wui6 yäm1,4476456
bo1 si2,4479922
zong1 dæng6 gung1,4484433
gwung2 ap2 zäi2,4489676
do1 löng1 cing4 cung1,4494501
säng1 bäk2 fung4 si4,4501415
gau1 wäi4,4508538
gü1 ma1 fäi1,4512213
zi2 söng6 tam4 bäng1,4516829
dung6 wa6,4524057
bäk2 gung1 päng4,4527523
dai6 säk6 læng1,4532243
wa4 mäu6,4537172
säng1 tai1 ngäi4 gi1,4540847
säk6 co1 yök6,4546925
da2 löi4 töi4,4553003
hæng4 ha1 hæng4 ha1,4557096
da2 fæng1,4561921
cäu1 se6,4565701
cung1 ho6,4570003
sa1 sa1,4573992
fäng1 täu4,4577876
næk6 gwo1 täu4,4581969
cöng4 bi1 yüng4,4586062
fong1 sæng1 ding6,4591513
fui1 päng4,4596024
