pron,offset
tui1 m1 tui1,4377908
fuk5 gien4 zung1 hok6,4385972
mat6 li4 fa1,4391946
cin2 cung2 ciang1,4397711
tai4 hak6 lon3,4405043
cang1 dit6 zai3,4411748
cam1 sam2,4418662
li3 gok5 det5,4424322
hi4 ca1,4428938
cung2 fung2,4433031
cut5 m1 dau3 loi2,4439214
gin1 nga3,4447069
hau3 hen4 fuk5,4451162
zung1 yit5,4457031
bok5 su4,4460811
sam1 gi4 but5 li2,4465949
yin1 vui4,4474744
zui4 ca1,4479987
da3 leu2,4484603
cong1 tau3,4489637
si1 ti3 gai3 peu3,4494775
ga1 gam3 sin2 cu2,4503466
vo2 liam2,4510903
lung2 cun1 li1,4515937
pui4 liau4,4522851
co4 tiap6,4526631
sit6 mai2,4530724
cong2 teu2 fat5,4536175
gim4 gu4,4542880
pau4 git5,4549376
ciang1 ngien2,4553365
dau4 fui4,4558294
vui2 teu2 va4,4563119
din3 ga1 ga1,4569511
gim1 zin4 ngit5,4575067
da3 zai3,4580310
hiun4 tau3 cu4,4585239
kit6 ti4,4591213
fan4 lat5,4595411
zai4 tui1,4599818
zu1 heu4 zai4,4605687
sit5 ngok6,4611452
co4 tau2,4615545
gon1 zai3 gut5 gut5,4620788
mui1 gan1,4629165
zang1 cu4 sit6,4634512
yit5 pien4,4641322
leu2 dai3,4646773
soi4 man1,4651284
su1 po4 liam3,4657362
yit5 ma1 pin2 con1,4662918
sam1 pien1,4670459
fo3 ca1 zam4,4677060
hau3 va1,4683661
ngiuk5 pien4 hi4,4688486
sam1 sang1,4694355
zun1 zong1 bia1 ziu3,4700329
kiong2 kien4,4707348
sang1 tai4 pin2 fen2,4712486
ok5 ba4,4721595
gon1 fa1,4726524
giang1 gi2,4731453
yin1 goi1 cung4,4736173
cung2 vui4,4743610
fa4 ngoi4 yim1,4748957
kuk5 song1 cok6 liam3,4755976
yim3 sit6 ngiap6,4764458
fung1 leu1,4770014
fat6 set5,4774943
zit5 he4,4779350
sit6 liong4,4783966
yin4 tit6,4789417
yiu1 fui4,4793615
ho2 gan1,4798335
vui2 su4,4804100
siu2 ga1,4809343
lan2 det5 yit5 gien4,4814690
tin2 song4,4823172
coi2 gin1 yen1 yen2,4828519
sam1 sin4,4836165
yit5 tin4 m1 fui4,4841825
liang1 boi4 heu1,4848426
tin4 hin2 sui3,4855549
dap5 song4 dap5,4863404
la2 za1,4868751
sin2 hang2,4873680
bi1 giung1 kiut5 cit5,4878923
mau2 yit5,4884897
zong3 yiu4 yiu1 si4,4889826
su4 sin1 fa4,4897054
lan2 bau3,4904073
san3 tau4,4909107
tiau4 pai4,4914350
sit6 zuk5 sit6 fan4,4918652
sam1 fuk6,4925253
bia1 hok5,4930182
lan2 gai4,4933962
lien2 siau1 dai4 da3,4939727
hau3 det5,4946955
sit6 hau3 si1,4950735
hau3 zon3,4957963
da3 sien2,4962997
yau4 cien2,4967508
cung2 sen4 yi2 liu2,4972019
mai1 tin4 li2 siu3,4980710
bau3 gon3 hau3,4987729
siong1 gau1,4994852
zung1 fa2 moi2 hi4,5000303
ciang1 cung2,5008576
zin4 zin4,5014968
zong3 sang1 zin1,5020733
hoi3 dai3 sui4 tau4,5029737
zit5 den3,5036129
cok6 ngan3 diam3,5041580
sin4 su4,5050271
mau2 fo4,5055618
gu1 ya2,5060547
fam4 fam4 zu1 gau1,5065372
ciu4 hau3 su4,5072809
het6 lit6,5079201
vo1 ngin2,5082981
gam1 gim4,5087806
kiun4 zien4,5093153
sa1 ba4,5097664
zen1 kiong2,5103115
sin1 fu4 cung1 song1,5108358
yin4 yin2 zu1 lon4,5116840
sit5 liong4,5123963
song3 liam3,5129310
liau4 cong2 gong1,5134657
tam1 sin1 sien1,5142512
gin1 yam4,5151307
sit6 ha4,5155296
yau4 goi3,5160225
feu2 cim2,5165468
sip6 do1 min2,5171024
fa4 vui2,5179401
lui4 tui1,5184330
gai3 dung4,5190095
zo3 siu3 bien1,5195129
hau3 siau1 sit5,5202357
gai3 mun4,5208226
hau3 cam3,5213469
liet6 vui2,5218398
bau3 yun2 tau4,5223641
tiau4 pui4,5230555
pa2 gak5 zai3,5235380
pui2 zu1,5241145
zu4 min2 ngin2 vut6,5246074
dong1 gai1,5253511
sin2 tiau2,5259067
ngiu3 zon3,5264414
ha1 hi4,5269552
kai4 yau4,5273854
yit5 lu4 hau3 zeu3,5277738
fung1 dang3,5284234
siu3 ca1,5288954
cui2 da3,5293465
ok5 zo4,5298603
liong1 toi2,5303532
cim2 gong4,5309610
yit5 liong1 kien4,5315166
hiong1 gong3 va4,5321558
pu1 lu4,5327532
bak5 ga1 lok6,5332357
zon3 liet6 diam3,5337391
kiu1 ngiong2 zai3,5343469
mo1 but5 cok6,5351010
hau3 hau3 yung4,5356461
zong3 vuk5,5363166
fong4 sa4 ngien2,5367573
ton1 ton1 suk6 suk6,5374278
si3 hang1,5381192
gap5 fun4,5386852
yen1 heu2,5391781
ngong4 cit6,5397128
ci1 zai3,5400908
fong3 sa1,5405942
cien2 heu4 zo3 yiu4,5410662
min2 man1,5419144
yung2 gai3 tu4,5424491
luk5 da1,5430778
yau4 go4,5435812
si2 gan1 sien4,5440532
hau3 tai4 yi3,5447133
hin4 ci4 ban1,5453316
vu2 len2 vui2 lit6,5460335
vui3 son1 dau4 liu2,5466727
da3 tui4 tong2 gu3,5474164
soi4 m1 lok5 gau4,5484004
loi2 hi4 kon4 tien4 yang3 lo3,5490709
lung2 zai3,5498146
ga1 zu1 li2 sen3,5503493
mau2 ngo1,5510407
zon3 son2,5514918
hau3 fu4 gai1,5520474
co4 gut5 sin2 gin1,5527806
ki2 zung1 kau3,5537542
het6 tau2,5544038
tai4 ket5 tai4 hot5,5548863
bau1 liong2 ca2,5557136
mau2 mak5,5563423
zon1 yiu1 min2 cu2,5568248
zin4 su3,5575998
liok6 tuk6,5581136
ngi3 ngin2,5584811
su4 tu4,5590158
ca1 dang3,5595087
gau3 yiu1,5599912
zin3 ngi3 yuk6 lung1,5605259
hoi3 su4 cu3,5613532
su4 sin2,5620133
hau3 su4 ngo1,5624853
pin2 hang2 yi3 ciu4,5630304
gai4 tuk6,5637636
hong4 sin1,5642043
au3 van1,5647286
li1 gien4 but5 sien3,5652737
m1 gung1 pin2,5659651
fan4 diam4,5666043
