pron,offset
päng4 bi2 wäi4 gæng1,3950515
söng6 säk6,3956698
sam1 fæng1,3960373
tong1 se4,3964780
fung1 löng4 wa2,3968873
säk2 gäng1,3973489
yäng1 wäi6 ne1,3977373
ca4 zäi2,3981884
zäu2 söng6 häu2,3985246
gai2 duk6 yök6,3991011
täng1 ha6,3995418
säng4 bäng2,3998675
löng1 däu6,4003082
bung1 ham4 bung1 tam1,4007175
gwung1 hok6 sæng1,4014612
go2 täu4 käng1,4019750
häng4 li1,4023948
päng1 mäng6,4027414
wo4 mi6 lung4,4031298
häng2 siu2,4035391
tong4 wa2,4039693
tai1 söng6 läu1 gwäng1,4043264
zük6 zung2,4052686
niu6 däu6,4056466
wäng4 siu1 fi1 ce1,4060455
cam1 hau2 sü1 muk6,4068414
ga2 yök6,4075851
wäi6 ci2,4079004
fæng4 säng6,4083515
säu1 däu6,4087713
wäi1 säk6,4091806
pau1 fu4,4095690
läu1 gai2,4099888
tam1 wäi1 säk2 säk6,4104399
ca1 ci4,4112358
wo4 fuk6,4116765
wæng6 täng1,4120127
löng1 küng4,4124011
ding1 däu2 zung1 säng1,4128000
da2 wok6 gäm1,4135332
gäng1 säng1,4140575
häu2 ya1,4145086
cai1 hing2,4148552
læng6 su1,4152645
häng4 zäu2,4157261
gai2 gäm1,4161459
säk6 zäk2,4165448
zäng1 säm1 wa6,4168810
zung1 gäm1,4174157
söng1 bæng1,4178146
häu2 yäng4 kæk2,4182448
gung1 fa1,4186541
ok2 duk6,4190530
käng1 mäk2,4193892
lo2 ga1,4197358
häng1 hau2 fong1 bing6,4200615
mäng4 liu4,4207947
söng6 fui2,4211622
hing2 sæng1,4215820
yüng6 ze2 söng1 diu1,4220018
säk6 gü6,4228709
zung1 fuk6,4232489
po2 wäi4,4235955
däk6 hük2,4239317
piu1 su1,4242679
läu1 säi1 ce1,4246563
zuk2 ceng1,4251701
täu2 hek2,4255794
siu1 zöng1,4259783
däu1 ci2 wäi4 zi2,4264608
cüng4 su1,4271104
teng1 lok6,4275197
su1 bu2,4278245
zi6 säk6 ki4 läk6,4282861
yäu1 pai4 læng6 zäi2,4289462
tu4 ping2,4296063
säng2 ng6,4300574
mi4 bäk2 zuk2 däu6,4303622
sæng1 m4 sæng1 säng1,4310327
löng1 go1 yäng4,4316510
gäu1 næng4,4321021
bo1 si6 däng6,4324905
häu2 ma4 fæng4,4329834
hæng4 hæng4 ki1 ki1,4334450
cai1 pai1,4340737
cai1 zäi2,4345248
ciu4 ye1,4348923
säk2 cung1,4352912
si2 cing4 læng6 da2,4356901
säng4 gi1,4363502
yäng4 zäi2,4367595
yäk2 dai6 bu6 fäng6,4371584
fäng1 cäng1,4377767
döi6 su1,4382278
cüng4 cau1,4386580
fung6 däk2 däu6,4391196
ngäu4 bui1 lu6,4396439
täu4 wäng4 ngæng1 fa1,4401368
döi1 bu6,4407760
ying4 gäu1 säng1,4411331
zü6 sæng1,4418559
läu4 siu1 ki4,4422861
gi1 säng1 mäk6,4428521
ngik6 häk6,4433346
läu4 yip6 köng4,4436708
säm1 tam1,4441846
dai6 da2 zik2 käu1,4446253
co1 däng6 däng6,4452749
säu1 fuk6,4457992
ci1 su1,4461563
lam6 ce1,4465656
ho2 yi1 wa6,4470063
wäng6 su1,4473738
lu1 se4,4477936
wäng4 yim1,4482552
cäng1 yi1,4486541
säk6 yüng1 fæng6,4490321
cöng4 cäng1 söi6 däu6,4498698
